Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Watch Time,Time Keeping,105253,POINT,3.172,3.172,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,START/STOP,Time Keeping,,STATE,12.108,1305.463,1293.355,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,13.671,13.671,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,14.44,14.44,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,15.951,15.951,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,16.92,16.92,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,17.94,17.94,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,19.191,19.191,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,20.205,20.205,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,21.196,21.196,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,22.42,22.42,NA,,
IV_Sctaeniopterus_TP_2021-06-12_111439,6/26/2025 15:08,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-12_111439_001.MP4,1308.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,23.458,23.458,NA,,
