Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,Watch Time,Time Keeping,141001,POINT,0.415,0.415,NA,,
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,START/STOP,Time Keeping,,STATE,5.912,1167.446,1161.534,,
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,15.915,15.915,NA,,
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,17.415,17.415,NA,,
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,18.657,18.657,NA,,
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,43.416,43.416,NA,,
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,46.415,46.415,NA,,
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,47.913,47.913,NA,,
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,49.914,49.914,NA,,
IV_Sctaeniopterus_TP_2021-06-12_142944,6/25/2025 11:00,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-06-12_142944_001.MP4,1171.57,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,50.915,50.915,NA,,
