File Name,Species,Site,Body Part,BS_Reviewer 1,WS_Reviewer 1,BS_Reviewer 2,WS_Reviewer 2
AQ_Spaurofrenatum_TP_2021-06-19_124852_001,Spaurofrenatum,Aquarius ,Total,29,8,33,8
AQ_Spaurofrenatum_TP_2021-06-19_131334_001,Spaurofrenatum,Aquarius ,Total,4,2,4,2
AQ_Spaurofrenatum_TP_2021-06-19_134230_001,Spaurofrenatum,Aquarius ,Total,17,4,14,4
AQ_Spaurofrenatum_TP_2021-06-19_150330_001,Spaurofrenatum,Aquarius ,Total,11,13,10,10
AQ_Spaurofrenatum_TP_2021-06-19_152807_001,Spaurofrenatum,Aquarius ,Total,7,8,6,9
AQ_Spaurofrenatum_TP_2021-06-19_155228_001,Spaurofrenatum,Aquarius ,Total,11,0,14,0
AQ_Spaurofrenatum_TP_2021-06-21_110436_001,Spaurofrenatum,Aquarius ,Total,13,6,12,6
AQ_Spaurofrenatum_TP_2021-06-21_113029_001,Spaurofrenatum,Aquarius ,Total,1,0,1,0
AQ_Spaurofrenatum_TP_2021-06-21_115636_001,Spaurofrenatum,Aquarius ,Total,13,2,13,3
AQ_Spaurofrenatum_TP_2021-06-21_134410_001,Spaurofrenatum,Aquarius ,Total,16,0,15,1
IV_Spaurofrenatum_TP_2021-06-18_105832_001,Spaurofrenatum,Invisibles ,Total,13,18,10,18
IV_Spaurofrenatum_TP_2021-06-18_112244_001,Spaurofrenatum,Invisibles ,Total,21,14,21,13
IV_Spaurofrenatum_TP_2021-06-18_114705_001,Spaurofrenatum,Invisibles ,Total,51,10,51,10
IV_Spaurofrenatum_TP_2021-06-18_121229_001,Spaurofrenatum,Invisibles ,Total,13,9,6,9
IV_Spaurofrenatum_TP_2021-06-18_135800_001,Spaurofrenatum,Invisibles ,Total,3,7,3,5
IV_Spaurofrenatum_TP_2021-06-18_142311_001,Spaurofrenatum,Invisibles ,Total,15,5,15,5
IV_Spaurofrenatum_TP_2021-06-18_144852_001,Spaurofrenatum,Invisibles ,Total,5,9,4,9
IV_Spaurofrenatum_TP_2021-06-19_110307_001,Spaurofrenatum,Invisibles ,Total,18,16,18,13
IV_Spaurofrenatum_TP_2021-06-19_112940_001,Spaurofrenatum,Invisibles ,Total,7,1,7,1
AQ_Sctaeniopterus_TP_2021-06-13_104650_001,Sctaeniopterus ,Aquarius ,Total,0,4,0,6
AQ_Sctaeniopterus_TP_2021-06-13_110953_001,Sctaeniopterus ,Aquarius ,Total,0,4,0,4
AQ_Sctaeniopterus_TP_2021-06-13_113339_001,Sctaeniopterus ,Aquarius ,Total,0,3,,3
AQ_Sctaeniopterus_TP_2021-06-13_115538_001,Sctaeniopterus ,Aquarius ,Total,0,3,2,5
AQ_Sctaeniopterus_TP_2021-06-13_135724_001,Sctaeniopterus ,Aquarius ,Total,0,2,0,0
