Site,Species,Phase,Date,End,SL,Harem
AQ,Sciseri,IP,7/5/2021,111446.gpx,15,
AQ,Sciseri,IP,7/5/2021,114030.gpx,14,
AQ,Sciseri,IP,7/5/2021,120618.gpx,16,
AQ,Sciseri,IP,7/5/2021,133721.gpx,13,
AQ,Sciseri,IP,7/5/2021,140152.gpx,17,
AQ,Sciseri,NTP,6/21/2021,142649.gpx,18,
AQ,Sciseri,NTP,6/21/2021,144917.gpx,17,4
AQ,Sciseri,TP,6/21/2021,141320.gpx,18,
AQ,Sciseri,TP,6/22/2021,110616.gpx,18,2
AQ,Sciseri,TP,6/22/2021,113048.gpx,17,1
AQ,Sciseri,TP,6/22/2021,115612.gpx,18,7
AQ,Sctaeniopterus,IP,7/5/2021,142629.gpx,15,
AQ,Sctaeniopterus,IP,7/6/2021,134526.gpx,16,
AQ,Sctaeniopterus,IP,7/6/2021,140955.gpx,16,
AQ,Sctaeniopterus,IP,7/6/2021,143600.gpx,17,
AQ,Sctaeniopterus,IP,7/6/2021,145859.gpx,18,
AQ,Sctaeniopterus,TP,6/13/2021,104650.gpx,20,2
AQ,Sctaeniopterus,TP,6/13/2021,110953.gpx,21,2
AQ,Sctaeniopterus,TP,6/13/2021,113339.gpx,20,2
AQ,Sctaeniopterus,TP,6/13/2021,115538.gpx,21,4
AQ,Sctaeniopterus,TP,6/13/2021,135724.gpx,19,2
AQ,Sctaeniopterus,TP,6/13/2021,142110.gpx,21,4
AQ,Sctaeniopterus,TP,6/13/2021,144603.gpx,20,2
AQ,Sctaeniopterus,TP,6/14/2021,104539.gpx,20,4
AQ,Sctaeniopterus,TP,6/14/2021,110902.gpx,21,3
AQ,Sctaeniopterus,TP,6/14/2021,113532.gpx,22,3
AQ,Sctaeniopterus,TP,6/14/2021,135125.gpx,20,3
AQ,Sctaeniopterus,TP,6/14/2021,141427.gpx,21,4
AQ,Sctaeniopterus,TP,6/17/2021,103428.gpx,20,3
AQ,Sctaeniopterus,TP,6/17/2021,110014.gpx,18,2
AQ,Sctaeniopterus,TP,6/17/2021,112229.gpx,19,1
AQ,Sctaeniopterus,TP,6/17/2021,130527.gpx,18,2
AQ,Sctaeniopterus,TP,6/17/2021,132934.gpx,20,4
AQ,Sctaeniopterus,TP,6/17/2021,135406.gpx,19,2
AQ,Sctaeniopterus,TP,6/17/2021,141728.gpx,19,4
AQ,Scvetula,IP,6/27/2021,105404.gpx,20,
AQ,Scvetula,IP,6/27/2021,111929.gpx,22,
AQ,Scvetula,IP,6/27/2021,114320.gpx,20,
AQ,Scvetula,IP,6/27/2021,120704.gpx,23,
