SeasYr,Site,Species,Phase,Date,EndTime,Territory
Su21,AQ,Spviride,TP,5/23/2021,104912,2
Su21,AQ,Spviride,TP,5/23/2021,112128,3
Su21,AQ,Spviride,TP,5/23/2021,125622,4
Su21,AQ,Spviride,TP,5/23/2021,133341,5
Su21,AQ,Spviride,TP,5/23/2021,152353,1
Su21,AQ,Spviride,TP,5/23/2021,160034,7
Su21,AQ,Spviride,TP,7/17/2021,114654,1
Su21,AQ,Spviride,TP,7/17/2021,121344,6
Su21,AQ,Spviride,TP,7/17/2021,123824,2
Su21,AQ,Spviride,TP,7/17/2021,141313,3
Su21,AQ,Spviride,TP,7/17/2021,144051,8
Su21,AQ,Spviride,TP,7/17/2021,150703,4
Su21,AQ,Spviride,TP,7/18/2021,112806,5
Su21,IV,Spviride,TP,5/22/2021,124441,1
Su21,IV,Spviride,TP,5/22/2021,131731,2
Su21,IV,Spviride,TP,5/22/2021,151225,4
Su21,IV,Spviride,TP,5/22/2021,154844,5
Su21,IV,Spviride,TP,5/24/2021,111941,3
Su21,IV,Spviride,TP,5/24/2021,115526,4
Su21,IV,Spviride,TP,5/24/2021,134809,8
Su21,IV,Spviride,TP,5/24/2021,142349,9
Su21,IV,Spviride,TP,7/18/2021,124216,1
Su21,IV,Spviride,TP,7/18/2021,130653,6
Su21,IV,Spviride,TP,7/18/2021,133241,2
Su21,IV,Spviride,TP,7/20/2021,114656,3
Su21,IV,Spviride,TP,7/20/2021,123730,4
Su21,IV,Spviride,TP,7/20/2021,130752,5
Su21,IV,Spviride,TP,7/20/2021,145220,7
Su21,AQ,Scvetula,TP,6/8/2021,113800,1
Su21,AQ,Scvetula,TP,6/8/2021,120514,6
Su21,AQ,Scvetula,TP,6/8/2021,123209,8
Su21,AQ,Scvetula,TP,6/8/2021,125458,2
Su21,AQ,Scvetula,TP,6/9/2021,135108,5
Su21,AQ,Scvetula,TP,6/9/2021,142348,7
Su21,AQ,Scvetula,TP,6/8/2021,143112,3
Su21,AQ,Scvetula,TP,6/8/2021,145549,2
Su21,AQ,Scvetula,TP,6/8/2021,152401,4
Su21,IV,Scvetula,TP,6/6/2021,105854,6
Su21,IV,Scvetula,TP,6/9/2021,110049,9
Su21,IV,Scvetula,TP,6/9/2021,112559,8
Su21,IV,Scvetula,TP,6/6/2021,112656,7
Su21,IV,Scvetula,TP,6/9/2021,115351,5
Su21,IV,Scvetula,TP,6/6/2021,115600,1
Su21,IV,Scvetula,TP,6/6/2021,133559,2
Su21,IV,Scvetula,TP,6/6/2021,140404,3
Su21,IV,Scvetula,TP,6/6/2021,155716,4
