"Site","Species","Phase","Date","End","MKDE95","MKDE50","SL","Harem","mass"
"AQ","Sciseri","IP","2021-07-05","111446.gpx",102.312383969648,17.7934580816779,15,NA,38.0053944117562
"AQ","Sciseri","IP","2021-07-05","114030.gpx",155.692758214682,44.4836452041948,14,NA,30.8784819617869
"AQ","Sciseri","IP","2021-07-05","120618.gpx",192.762462551511,43.0008570307217,16,NA,46.1542504044564
"AQ","Sciseri","IP","2021-07-05","133721.gpx",160.141122735101,44.4836452041948,13,NA,24.7047261762198
"AQ","Sciseri","IP","2021-07-05","140152.gpx",94.8984431022823,26.6901871225169,17,NA,55.3938827591674
"AQ","Sciseri","NTP","2021-06-21","142649.gpx",302.488787388525,63.7598914593459,18,NA,65.7931673849546
"AQ","Sciseri","NTP","2021-06-21","144917.gpx",81.5533495410238,17.7934580816779,17,4,55.3938827591674
"AQ","Sciseri","TP","2021-06-21","141320.gpx",262.453506704749,71.1738323267117,18,NA,65.7931673849546
"AQ","Sciseri","TP","2021-06-22","110616.gpx",281.729752959901,75.6221968471312,18,2,65.7931673849546
"AQ","Sciseri","TP","2021-06-22","113048.gpx",191.279674378038,51.8975860715606,17,1,55.3938827591674
"AQ","Sciseri","TP","2021-06-22","115612.gpx",434.456934827636,120.105842051326,18,7,65.7931673849546
"AQ","Sctaeniopterus","IP","2021-07-05","142629.gpx",106.760748490068,26.6901871225169,15,NA,45.5625
"AQ","Sctaeniopterus","IP","2021-07-06","134526.gpx",123.071418398272,26.6901871225169,16,NA,55.296
"AQ","Sctaeniopterus","IP","2021-07-06","140955.gpx",68.2082559797654,17.7934580816779,16,NA,55.296
"AQ","Sctaeniopterus","IP","2021-07-06","143600.gpx",86.0017140614433,17.7934580816779,17,NA,66.3255
"AQ","Sctaeniopterus","IP","2021-07-06","145859.gpx",96.3812312757555,20.7590344286243,18,NA,78.732
"AQ","Sctaeniopterus","TP","2021-06-13","104650.gpx",100.829595796175,28.1729752959901,20,2,108
"AQ","Sctaeniopterus","TP","2021-06-13","110953.gpx",81.5533495410238,17.7934580816779,21,2,125.0235
"AQ","Sctaeniopterus","TP","2021-06-13","113339.gpx",83.036137714497,19.2762462551511,20,2,108
"AQ","Sctaeniopterus","TP","2021-06-13","115538.gpx",109.726324837014,26.6901871225169,21,4,125.0235
"AQ","Sctaeniopterus","TP","2021-06-13","135724.gpx",100.829595796175,25.2073989490437,19,2,92.5965
"AQ","Sctaeniopterus","TP","2021-06-13","142110.gpx",127.519782918692,35.5869161633559,21,4,125.0235
"AQ","Sctaeniopterus","TP","2021-06-13","144603.gpx",129.002571092165,32.6213398164095,20,2,108
"AQ","Sctaeniopterus","TP","2021-06-14","104539.gpx",105.277960316594,28.1729752959901,20,4,108
"AQ","Sctaeniopterus","TP","2021-06-14","110902.gpx",86.0017140614433,22.2418226020974,21,3,125.0235
"AQ","Sctaeniopterus","TP","2021-06-14","113532.gpx",69.6910441532386,7.4139408673658,22,3,143.748
"AQ","Sctaeniopterus","TP","2021-06-14","135125.gpx",166.072275428994,50.4147978980875,20,3,108
