"ID","lon","lat","time","Int_Stop","Behavior","Int.ID","Int.Sp","M4","M5","ActualTime","Int_Start","Duration","Relationship","Intensity"
"AQ_Sctaeniopterus_TP_2021-06-13_104650",-68.2860858715167,12.097596412025,2021-06-13 14:36:31,00:10:16,"Parrotfish","TP-Heterospecific","Sc. iseri","Charge","None",10:36:41,00:10:07,9,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_104650",-68.2860502694,12.0976525638,2021-06-13 14:42:44,00:16:22,"Parrotfish","IP-Conspecific","Sc. taeniopterus","Display","None",10:42:46,00:16:20,2,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_110953",-68.28611829686,12.09765831378,2021-06-13 15:04:11,00:14:17,"Parrotfish","TP-Conspecific","Sc. taeniopterus","Charge,Display","None",11:04:12,00:14:15,2,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_110953",-68.2861434761333,12.0976645779,2021-06-13 15:07:58,00:18:27,"Parrotfish","TP-Conspecific","Sc. taeniopterus","Display","None",11:08:22,00:18:02,25,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_113339",-68.2861626288,12.0976127917,2021-06-13 15:20:20,00:06:19,"Parrotfish","IP-Conspecific","Sc. taeniopterus","Charge,Display","None",11:20:24,00:06:14,5,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_113339",-68.2861739117333,12.0976058486556,2021-06-13 15:24:54,00:10:51,"Parrotfish","IP-Conspecific","Sc. taeniopterus","Charge,Display","None",11:24:57,00:10:49,2,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_113339",-68.28616381906,12.09763409014,2021-06-13 15:27:00,00:13:03,"Parrotfish","TP-Conspecific","Sc. taeniopterus","Charge,Display","Neighbor",11:27:08,00:12:54,8,"Neighbor","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_113339",-68.2861507684,12.0976419188,2021-06-13 15:27:30,00:13:28,"Parrotfish","IP-Conspecific","Sc. taeniopterus","Charge,Display","None",11:27:33,00:13:24,3,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_113339",-68.2861548336,12.09763600955,2021-06-13 15:27:35,00:13:38,"Parrotfish","IP-Conspecific","Sc. taeniopterus","Chase,Display","None",11:27:43,00:13:30,8,"None","High"
"AQ_Sctaeniopterus_TP_2021-06-13_113339",-68.2861638442,12.0976379793,2021-06-13 15:27:47,00:13:44,"Parrotfish","IP-Conspecific","Sc. taeniopterus","Charge","None",11:27:50,00:13:41,3,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_113339",-68.2861541212,12.0976431761,2021-06-13 15:28:06,00:14:13,"Parrotfish","IP-Conspecific","Sc. taeniopterus","Chase,Display","None",11:28:18,00:14:01,12,"None","High"
"AQ_Sctaeniopterus_TP_2021-06-13_113339",-68.2861890318,12.09761488715,2021-06-13 15:29:48,00:15:57,"Parrotfish","TP-Conspecific","Sc. taeniopterus","Chase,Display","Floater",11:30:02,00:15:43,14,"Floater","High"
"AQ_Sctaeniopterus_TP_2021-06-13_113339",-68.2861705497,12.0976166055,2021-06-13 15:32:58,00:18:55,"Parrotfish","IP-Conspecific","Sc. taeniopterus","Charge,Display","None",11:33:00,00:18:53,2,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_115538",-68.2861442957222,12.0977361779333,2021-06-13 15:41:53,00:05:31,"Parrotfish","None-None","None","Charge,Display","None",11:42:03,00:05:21,11,"None","Low"
"AQ_Sctaeniopterus_TP_2021-06-13_115538",-68.286125664575,12.0977653633,2021-06-13 15:45:41,00:09:11,"Parrotfish","None-None","None","None","None",11:45:43,00:09:09,3,"None","Unknown"
"AQ_Sctaeniopterus_TP_2021-06-13_115538",-68.286140573875,12.0977458858625,2021-06-13 15:45:57,00:09:38,"Parrotfish","TP-Conspecific","Sc. taeniopterus","Chase,Display","Floater",11:46:10,00:09:25,14,"Floater","High"
"AQ_Sctaeniopterus_TP_2021-06-13_115538",-68.2860896795636,12.0977404747364,2021-06-13 15:51:35,00:15:08,"Parrotfish","IP-Conspecific","Sc. taeniopterus","Chase,Display","None",11:51:40,00:15:03,5,"None","High"
